,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/pcDc2WJAYGJTTvRSEIpRZwM3Ola.jpg,"[28, 12, 14, 878]",791373,en,Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",6011.914,/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg,2021-03-18,Zack Snyder's Justice League,False,8.7,3012
1,False,/hJuDvwzS0SPlsE6MNFOpznQltDZ.jpg,"[16, 12, 14, 10751, 28]",527774,en,Raya and the Last Dragon,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",3828.086,/lPsD10PP4rgUGiGR4CCXA6iY0QQ.jpg,2021-03-03,Raya and the Last Dragon,False,8.4,1554
2,False,/gzJnMEMkHowkUndn9gCr8ghQPzN.jpg,"[53, 28, 18]",793723,fr,Sentinelle,"Transferred home after a traumatizing combat mission, a highly trained French soldier uses her lethal skills to hunt down the man who hurt her sister.",2479.97,/fFRq98cW9lTo6di2o4lK1qUAWaN.jpg,2021-03-05,Sentinelle,False,6.0,247
3,False,/8tNX8s3j1O0eqilOQkuroRLyOZA.jpg,"[14, 28, 12]",458576,en,Monster Hunter,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",2138.307,/1UCOF11QCw8kcqvce8LKOO6pimh.jpg,2020-12-03,Monster Hunter,False,7.2,1206
4,False,/6TPZSJ06OEXeelx1U1VIAt0j9Ry.jpg,"[28, 80, 53]",587996,es,Bajocero,"When a prisoner transfer van is attacked, the cop in charge must fight those inside and outside while dealing with a silent foe: the icy temperatures.",1873.866,/dWSnsAGTfc8U27bWsy2RfwZs0Bs.jpg,2021-01-29,Below Zero,False,6.4,464
5,False,/fev8UFNFFYsD5q7AcYS8LyTzqwl.jpg,"[28, 35, 10751, 16]",587807,en,Tom & Jerry,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.",2252.531,/6KErczPBROQty7QoIsaa6wJYXZi.jpg,2021-02-11,Tom & Jerry,False,7.5,936
6,False,/egg7KFi18TSQc1s24RMmR9i2zO6.jpg,"[14, 28, 12]",464052,en,Wonder Woman 1984,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,1952.73,/8UlWHLMpgZm9bx6QYh0NFoq67TZ.jpg,2020-12-16,Wonder Woman 1984,False,6.8,4398
7,False,/drulhSX7P5TQlEMQZ3JoXKSDEfz.jpg,"[18, 14, 878]",581389,ko,승리호,"When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake.",1789.555,/lykPQ7lgrLJPwLlSyetVXsl2wDf.jpg,2021-02-05,Space Sweepers,False,7.2,407
8,False,/uQtqiAu2bBlokqjlURVLEha6zoi.jpg,"[80, 18]",544401,en,Cherry,"Cherry drifts from college dropout to army medic in Iraq - anchored only by his true love, Emily. But after returning from the war with PTSD, his life spirals into drugs and crime as he struggles to find his place in the world.",1740.144,/pwDvkDyaHEU9V7cApQhbcSJMG1w.jpg,2021-02-26,Cherry,False,7.9,322
9,False,/vKzbIoHhk1z9DWYi8kyFe9Gg0HF.jpg,[35],484718,en,Coming 2 America,"Prince Akeem Joffer is set to become King of Zamunda when he discovers he has a son he never knew about in America – a street savvy Queens native named Lavelle. Honoring his royal father's dying wish to groom this son as the crown prince, Akeem and Semmi set off to America once again.",1314.639,/nWBPLkqNApY5pgrJFMiI9joSI30.jpg,2021-03-05,Coming 2 America,False,6.9,976
