,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,,"[28, 12, 878, 14]",298618,en,The Flash,"The Flash travels back in time to prevent the murder of his mother, an act which disrupts time significantly.",116.092,/e3aS4VMoMpv7JCUk7XASWlskViO.jpg,2022-11-03,The Flash,False,0,0
1,False,/z3ElnHwcf1g56Qlp53yGbPsGXL7.jpg,"[28, 12, 878, 14, 53]",76600,en,Avatar 2,"Avatar: The Way of Water will once again follow Sam Worthington’s Jake Sully twelve years after exploring Pandora and joining the Na’vi. He has since raised a family with Neytiri, portrayed by Zoe Saldana, and established himself within the clans of the new world. Of course, peace can only last so long. Especially when the military organisation from the original film returns to “finish what they started”.",73.875,/110CYDvtnVRWs9meC4lsZCz98vg.jpg,2022-12-15,Avatar 2,False,0,0
2,False,/iGtSJbDku0riOw1joO1qD4pGwdm.jpg,"[28, 12, 878, 14, 9648]",609681,en,Captain Marvel 2,The sequel to Captain Marvel (2019).,50.71,/gWxeVJ920nprJEbXbzmuuzeaAar.jpg,2022-11-10,Captain Marvel 2,False,0,0
3,False,/ppehJ5HlIcqFpH9erwjwFGKdIoe.jpg,"[16, 28, 878, 35, 12]",569094,en,Spider-Man: Into the Spider-Verse 2,The continuing story of Miles Morales and the many other Spider-People from different realities.,52.728,/8ycplQbTU6DRRwiG95lQEpYkOVg.jpg,2022-10-06,Spider-Man: Into the Spider-Verse 2,False,0,0
4,False,,"[28, 80, 53]",603692,en,John Wick: Chapter 4,,58.662,/kPsRQfoyYgcpbI6hvDQvUSCo0q3.jpg,2022-05-25,John Wick: Chapter 4,False,0,0
5,False,/wnUsZKxtS8gSl7xIEif97zIwi3b.jpg,"[10751, 878, 35]",675353,en,Sonic the Hedgehog 2,,37.164,/tvOU2SSdIdf3aJ1y27EGJfRGA0U.jpg,2022-04-06,Sonic the Hedgehog 2,False,0,0
6,False,/qbDPVqbxFDNYfFWDxzLJ2UCbfvg.jpg,"[27, 28, 878, 53]",526896,en,Morbius,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.",43.73,/4Mdf5XXKcgLWFtMDSJTtelPvjeY.jpg,2022-01-20,Morbius,False,0,0
7,False,/nu1fARVd5xx8PKSdUeQTz0wtjyo.jpg,"[28, 80, 18]",414906,en,The Batman,,48.213,/yYMG2uT87auGztI9aKVzBB2pHvK.jpg,2022-03-03,The Batman,False,0,0
8,False,,"[12, 28, 878, 53]",507086,en,Jurassic World: Dominion,Plot unknown.,32.572,/4lCQirdaxCHBCeTmwHw7zITx521.jpg,2022-06-09,Jurassic World: Dominion,False,0,0
9,False,,"[12, 18, 16, 878]",793440,en,Spider-Man: Genesis,"Taking place 6 months after Ben's death, we follow seventeen-year-old Peter Parker, as he tries to reconcile with his distant Aunt May around the time of Ben's birthday. Meanwhile, a bank robber by the name of Vulture interrupts Peter's reconciliation, as Peter has to choose whether or not to be the spider or be the man.",43.054,/tEfMFJkOIQhlGqlj6HPuA8eMMPh.jpg,2022-10-21,Spider-Man: Genesis,False,0,0
