,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_category,nominee,oscar_win,no_oscar_wins,no_oscar_nominations,genre_id,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,rotten_tomatoes_rating,metascore,total_wins,total_nominations
0,53939,tt0054326,1960,1961,Sons and Lovers,Best Actor,Trevor Howard,False,1.0,7,[18],"['Trevor Howard', 'Dean Stockwell', 'Wendy Hiller', 'Donald Pleasence']",21.268000000000004,Jack Cardiff,[],['Gavin Lambert'],6.252999999999999,0,0,103,69,18,71,1408,67,N/A,7,16
1,22013,tt0053793,1960,1961,Elmer Gantry,Best Actor,Burt Lancaster,True,3.0,5,[18],"['Burt Lancaster', 'Jean Simmons', 'Arthur Kennedy', 'Dean Jagger']",39.17699999999999,Richard Brooks,['Bernard Smith'],['Richard Brooks'],15.157999999999996,3000000,10400000,146,72,85,78,10534,94,N/A,8,13
2,284,tt0053604,1960,1961,The Apartment,Best Actor,Jack Lemmon,False,5.0,10,"[35, 18, 10749]","['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",42.158,Billy Wilder,['Billy Wilder'],[],40.09100000000002,3000000,25000000,125,82,1429,83,165873,93,94,19,8
3,18929,tt0053796,1960,1961,The Entertainer,Best Actor,Laurence Olivier,False,0.0,1,"[18, 10402]","['Laurence Olivier', 'Brenda De Banzie', 'Roger Livesey', 'Joan Plowright']",37.900000000000006,Tony Richardson,['Harry Saltzman'],"['John Osborne', 'Nigel Kneale']",31.632000000000012,0,0,96,62,28,71,3022,77,70,19,4
4,1908,tt0053946,1960,1961,Inherit the Wind,Best Actor,Spencer Tracy,False,0.0,4,"[18, 36]","['Spencer Tracy', 'Fredric March', 'Gene Kelly', 'Dick York']",73.31999999999998,Stanley Kramer,"['Stanley Kramer', 'Herman Shumlin']","['Nedrick Young', 'Harold Jacob Smith']",21.135000000000005,0,0,128,78,252,81,27478,92,75,3,7
5,72354,tt0054354,1960,1961,Sunrise at Campobello,Best Actress,Greer Garson,False,0.0,4,"[18, 36]","['Ralph Bellamy', 'Greer Garson', 'Hume Cronyn', 'Jean Hagen']",20.581000000000003,Vincent J. Donehue,['Dore Schary'],['Dore Schary'],8.248999999999997,0,0,144,58,9,69,1116,88,82,3,3
6,43047,tt0054353,1960,1961,The Sundowners,Best Actress,Deborah Kerr,False,0.0,5,[12],"['Deborah Kerr', 'Robert Mitchum', 'Peter Ustinov', 'Michael Anderson Jr.']",32.539,Fred Zinnemann,['Gerry Blattner'],['Isobel Lennart'],13.122999999999996,0,0,133,67,32,71,3804,75,82,4,8
7,284,tt0053604,1960,1961,The Apartment,Best Actress,Shirley MacLaine,False,5.0,10,"[35, 18, 10749]","['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",42.158,Billy Wilder,['Billy Wilder'],[],40.09100000000002,3000000,25000000,125,82,1429,83,165873,93,94,19,8
8,43039,tt0054198,1960,1961,Never on Sunday,Best Actress,Melina Mercouri,False,1.0,5,"[18, 35, 10749]","['Melina Mercouri', 'Jules Dassin', 'George Foundas', 'Titos Vandis']",21.128000000000007,Jules Dassin,[],[],4.6,151000,8000000,91,71,41,74,5333,67,N/A,2,8
9,23724,tt0053622,1960,1961,Butterfield 8,Best Actress,Elizabeth Taylor,True,1.0,2,[18],"['Elizabeth Taylor', 'Laurence Harvey', 'Eddie Fisher', 'Dina Merrill']",19.528999999999996,Daniel Mann,['Pandro S. Berman'],"['John Michael Hayes', 'Charles Schnee']",11.673999999999998,0,0,109,65,48,64,5863,47,48,2,6
