,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_category,nominee,oscar_win,no_oscar_wins,no_oscar_nominations,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,rotten_tomatoes_rating,metascore,total_wins,total_nominations,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
0,53939,tt0054326,1960,1961,Sons and Lovers,Best Actor,Trevor Howard,False,1.0,7,"['Trevor Howard', 'Dean Stockwell', 'Wendy Hiller', 'Donald Pleasence']",28.382,Jack Cardiff,[],['Gavin Lambert'],4.7719999999999985,17310296.73666667,91562476.49333334,103,69,18,71,1416,67.0,77.06614785992218,7,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,22013,tt0053793,1960,1961,Elmer Gantry,Best Actor,Burt Lancaster,True,3.0,5,"['Burt Lancaster', 'Jean Simmons', 'Arthur Kennedy', 'Dean Jagger']",48.935,Richard Brooks,['Bernard Smith'],['Richard Brooks'],15.674999999999995,3000000.0,10400000.0,146,73,87,78,10534,94.0,77.06614785992218,8,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,284,tt0053604,1960,1961,The Apartment,Best Actor,Jack Lemmon,False,5.0,10,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",51.102,Billy Wilder,['Billy Wilder'],[],35.907000000000025,3000000.0,25000000.0,125,82,1437,83,166775,93.0,94.0,19,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
3,18929,tt0053796,1960,1961,The Entertainer,Best Actor,Laurence Olivier,False,0.0,1,"['Laurence Olivier', 'Brenda De Banzie', 'Roger Livesey', 'Joan Plowright']",48.75700000000002,Tony Richardson,['Harry Saltzman'],"['John Osborne', 'Nigel Kneale']",30.864000000000022,17310296.73666667,91562476.49333334,96,62,28,71,3062,77.0,70.0,19,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4,1908,tt0053946,1960,1961,Inherit the Wind,Best Actor,Spencer Tracy,False,0.0,4,"['Spencer Tracy', 'Fredric March', 'Gene Kelly', 'Dick York']",80.67799999999997,Stanley Kramer,"['Stanley Kramer', 'Herman Shumlin']","['Nedrick Young', 'Harold Jacob Smith']",23.51500000000001,17310296.73666667,91562476.49333334,128,78,254,81,27672,92.0,75.0,3,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5,72354,tt0054354,1960,1961,Sunrise at Campobello,Best Actress,Greer Garson,False,0.0,4,"['Ralph Bellamy', 'Greer Garson', 'Hume Cronyn', 'Jean Hagen']",22.725000000000005,Vincent J. Donehue,['Dore Schary'],['Dore Schary'],8.559999999999999,11162705.538461538,65400906.97658863,144,58,9,69,1116,88.0,82.0,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6,43047,tt0054353,1960,1961,The Sundowners,Best Actress,Deborah Kerr,False,0.0,5,"['Deborah Kerr', 'Robert Mitchum', 'Peter Ustinov', 'Michael Anderson Jr.']",33.284,Fred Zinnemann,['Gerry Blattner'],['Isobel Lennart'],14.565999999999995,11162705.538461538,65400906.97658863,133,67,32,71,3804,75.0,82.0,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,284,tt0053604,1960,1961,The Apartment,Best Actress,Shirley MacLaine,False,5.0,10,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",51.102,Billy Wilder,['Billy Wilder'],[],35.907000000000025,3000000.0,25000000.0,125,82,1437,83,166775,93.0,94.0,19,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
8,43039,tt0054198,1960,1961,Never on Sunday,Best Actress,Melina Mercouri,False,1.0,5,"['Melina Mercouri', 'Jules Dassin', 'George Foundas', 'Titos Vandis']",20.280000000000005,Jules Dassin,[],[],6.607999999999999,151000.0,8000000.0,91,71,42,74,5333,67.0,75.34913793103448,2,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
9,23724,tt0053622,1960,1961,Butterfield 8,Best Actress,Elizabeth Taylor,True,1.0,2,"['Elizabeth Taylor', 'Laurence Harvey', 'Eddie Fisher', 'Dina Merrill']",20.761999999999997,Daniel Mann,['Pandro S. Berman'],"['John Michael Hayes', 'Charles Schnee']",12.141999999999998,11162705.538461538,65400906.97658863,109,65,48,64,5863,47.0,48.0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,284,tt0053604,1960,1961,The Apartment,Best Director,Billy Wilder,True,5.0,10,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",51.102,Billy Wilder,['Billy Wilder'],[],35.907000000000025,3000000.0,25000000.0,125,82,1437,83,166775,93.0,94.0,19,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
11,43039,tt0054198,1960,1961,Never on Sunday,Best Director,Jules Dassin,False,1.0,5,"['Melina Mercouri', 'Jules Dassin', 'George Foundas', 'Titos Vandis']",20.280000000000005,Jules Dassin,[],[],6.607999999999999,151000.0,8000000.0,91,71,42,74,5333,67.0,82.05860805860806,2,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
12,539,tt0054215,1960,1961,Psycho,Best Director,Alfred Hitchcock,False,0.0,4,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']",81.63199999999998,Alfred Hitchcock,['Alfred Hitchcock'],['Joseph Stefano'],37.04800000000002,806947.0,32000000.0,109,84,7254,85,611858,96.0,97.0,7,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
