,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_category,nominee,no_oscar_nominations,oscar_win,genre_id,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count
0,53939,tt0054326,1960,1961,Sons and Lovers,Best Actor,Trevor Howard,7,False,[18],"['Trevor Howard', 'Dean Stockwell', 'Wendy Hiller', 'Donald Pleasence']",21.268000000000004,Jack Cardiff,[],['Gavin Lambert'],6.252999999999999,0,0,103,6.9,18
1,22013,tt0053793,1960,1961,Elmer Gantry,Best Actor,Burt Lancaster,5,True,[18],"['Burt Lancaster', 'Jean Simmons', 'Arthur Kennedy', 'Dean Jagger']",39.17699999999999,Richard Brooks,['Bernard Smith'],['Richard Brooks'],15.157999999999996,3000000,10400000,146,7.2,85
2,284,tt0053604,1960,1961,The Apartment,Best Actor,Jack Lemmon,10,False,"[35, 18, 10749]","['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",42.158,Billy Wilder,['Billy Wilder'],[],40.09100000000002,3000000,25000000,125,8.2,1429
3,18929,tt0053796,1960,1961,The Entertainer,Best Actor,Laurence Olivier,1,False,"[18, 10402]","['Laurence Olivier', 'Brenda De Banzie', 'Roger Livesey', 'Joan Plowright']",37.900000000000006,Tony Richardson,['Harry Saltzman'],"['John Osborne', 'Nigel Kneale']",31.632000000000012,0,0,96,6.2,28
4,1908,tt0053946,1960,1961,Inherit the Wind,Best Actor,Spencer Tracy,4,False,"[18, 36]","['Spencer Tracy', 'Fredric March', 'Gene Kelly', 'Dick York']",73.31999999999998,Stanley Kramer,"['Stanley Kramer', 'Herman Shumlin']","['Nedrick Young', 'Harold Jacob Smith']",21.135000000000005,0,0,128,7.8,252
5,72354,tt0054354,1960,1961,Sunrise at Campobello,Best Actress,Greer Garson,4,False,"[18, 36]","['Ralph Bellamy', 'Greer Garson', 'Hume Cronyn', 'Jean Hagen']",20.581000000000003,Vincent J. Donehue,['Dore Schary'],['Dore Schary'],8.248999999999997,0,0,144,5.8,9
6,43047,tt0054353,1960,1961,The Sundowners,Best Actress,Deborah Kerr,5,False,[12],"['Deborah Kerr', 'Robert Mitchum', 'Peter Ustinov', 'Michael Anderson Jr.']",32.539,Fred Zinnemann,['Gerry Blattner'],['Isobel Lennart'],13.122999999999996,0,0,133,6.7,32
7,284,tt0053604,1960,1961,The Apartment,Best Actress,Shirley MacLaine,10,False,"[35, 18, 10749]","['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",42.158,Billy Wilder,['Billy Wilder'],[],40.09100000000002,3000000,25000000,125,8.2,1429
8,43039,tt0054198,1960,1961,Never on Sunday,Best Actress,Melina Mercouri,5,False,"[18, 35, 10749]","['Melina Mercouri', 'Jules Dassin', 'George Foundas', 'Titos Vandis']",21.128000000000007,Jules Dassin,[],[],4.6,151000,8000000,91,7.1,41
9,23724,tt0053622,1960,1961,Butterfield 8,Best Actress,Elizabeth Taylor,2,True,[18],"['Elizabeth Taylor', 'Laurence Harvey', 'Eddie Fisher', 'Dina Merrill']",19.528999999999996,Daniel Mann,['Pandro S. Berman'],"['John Michael Hayes', 'Charles Schnee']",11.673999999999998,0,0,109,6.5,48
