,tmdb_id,imdb_id,film,year,nomination_count,oscar_cat,oscar_win,casts_popularity,crew_popularity,tmdb_vote_average,tmdb_vote_count,director,genre_id_0,genre_id_1,starring_0,starring_1,starring_2,starring_3,producer_0,producer_1,screenplay_0
0,53939,tt0054326,Sons and Lovers,1960,7,Best Actor,False,21.268000000000004,6.252999999999999,6.9,18,Jack Cardiff,18,,Trevor Howard,Dean Stockwell,Wendy Hiller,Donald Pleasence,,,Gavin Lambert
1,22013,tt0053793,Elmer Gantry,1960,5,Best Actor,True,39.17699999999999,15.157999999999996,7.2,85,Richard Brooks,18,,Burt Lancaster,Jean Simmons,Arthur Kennedy,Dean Jagger,Bernard Smith,,Richard Brooks
2,284,tt0053604,The Apartment,1960,10,Best Actor,False,42.158,40.09100000000002,8.2,1429,Billy Wilder,35,18,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,Billy Wilder,,
3,18929,tt0053796,The Entertainer,1960,1,Best Actor,False,37.90000000000001,31.63200000000001,6.2,28,Tony Richardson,18,10402,Laurence Olivier,Brenda De Banzie,Roger Livesey,Joan Plowright,Harry Saltzman,,John Osborne
4,1908,tt0053946,Inherit the Wind,1960,4,Best Actor,False,73.31999999999998,21.135000000000005,7.8,252,Stanley Kramer,18,36,Spencer Tracy,Fredric March,Gene Kelly,Dick York,Stanley Kramer,Herman Shumlin,Nedrick Young
5,72354,tt0054354,Sunrise at Campobello,1960,4,Best Actress,False,20.581000000000003,8.248999999999997,5.8,9,Vincent J. Donehue,18,36,Ralph Bellamy,Greer Garson,Hume Cronyn,Jean Hagen,Dore Schary,,Dore Schary
6,43047,tt0054353,The Sundowners,1960,5,Best Actress,False,32.539,13.122999999999996,6.7,32,Fred Zinnemann,12,,Deborah Kerr,Robert Mitchum,Peter Ustinov,Michael Anderson Jr.,Gerry Blattner,,Isobel Lennart
7,284,tt0053604,The Apartment,1960,10,Best Actress,False,42.158,40.09100000000002,8.2,1429,Billy Wilder,35,18,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,Billy Wilder,,
8,43039,tt0054198,Never on Sunday,1960,5,Best Actress,False,21.128000000000007,4.6,7.1,41,Jules Dassin,18,35,Melina Mercouri,Jules Dassin,George Foundas,Titos Vandis,,,
9,23724,tt0053622,Butterfield 8,1960,2,Best Actress,True,19.529,11.673999999999998,6.5,48,Daniel Mann,18,,Elizabeth Taylor,Laurence Harvey,Eddie Fisher,Dina Merrill,Pandro S. Berman,,John Michael Hayes
