,year_film,nominee,oscar_category,index,oscar_win,film,movie_id,genre_id,vote_average,budget,revenue,release_date,runtime
0,1990,Kevin Costner,Best Actor,6889,False,Dances With Wolves,581,"[12, 18, 37]",7.9,22000000.0,424208848.0,1990-03-30,181.0
1,1990,Robert De Niro,Best Actor,6890,False,Awakenings,11005,[18],7.8,0.0,52096475.0,1990-12-04,120.0
2,1990,Gerard Depardieu,Best Actor,6891,False,Cyrano de Bergerac,11673,"[18, 35, 36, 10749]",7.3,0.0,0.0,1990-01-01,137.0
3,1990,Richard Harris,Best Actor,6892,False,The Field,31651,[18],6.9,0.0,1494399.0,1990-09-21,110.0
4,1990,Jeremy Irons,Best Actor,6893,True,Reversal of Fortune,38718,[18],6.7,0.0,15445131.0,1990-10-05,111.0
5,1990,Bruce Davison,Best Supporting Actor,6894,False,Longtime Companion,39934,"[18, 10749]",7.2,0.0,4609953.0,1989-10-11,96.0
6,1990,Andy Garcia,Best Supporting Actor,6895,False,"The Godfather, Part III",242,"[80, 18, 53]",7.4,54000000.0,136766062.0,1990-12-25,170.0
7,1990,Graham Greene,Best Supporting Actor,6896,False,Dances With Wolves,581,"[12, 18, 37]",7.9,22000000.0,424208848.0,1990-03-30,181.0
8,1990,Al Pacino,Best Supporting Actor,6897,False,Dick Tracy,8592,"[12, 28, 35, 53, 80]",6.2,47000000.0,103738726.0,1990-04-05,105.0
9,1990,Joe Pesci,Best Supporting Actor,6898,True,GoodFellas,769,"[18, 80]",8.4,25000000.0,46835000.0,1990-09-12,145.0
10,1990,Kathy Bates,Best Actress,6899,True,Misery,1700,"[18, 53]",7.7,20000000.0,61276872.0,1990-11-30,107.0
11,1990,Anjelica Huston,Best Actress,6900,False,The Grifters,18129,"[80, 18]",6.7,0.0,13446769.0,1990-08-08,110.0
12,1990,Julia Roberts,Best Actress,6901,False,Pretty Woman,114,"[10749, 35]",7.4,14000000.0,463000000.0,1990-03-23,119.0
13,1990,Meryl Streep,Best Actress,6902,False,Postcards from the Edge,22414,"[35, 18]",6.5,22000000.0,39071603.0,1990-09-14,101.0
14,1990,Joanne Woodward,Best Actress,6903,False,Mr. & Mrs. Bridge,111815,[18],5.7,0.0,0.0,1990-11-23,126.0
15,1990,Annette Bening,Best Supporting Actress,6904,False,The Grifters,18129,"[80, 18]",6.7,0.0,13446769.0,1990-08-08,110.0
